country,calorie_weighted_total_change_pct,calorie_weighted_climate_only_change_pct,calorie_weighted_irrigation_loss_pct,wheat_total_change_pct,wheat_climate_only_pct,wheat_irrigation_loss_pct,wheat_baseline_production_mt,wheat_collapsed_production_mt,rice_total_change_pct,rice_climate_only_pct,rice_irrigation_loss_pct,rice_baseline_production_mt,rice_collapsed_production_mt,maize_total_change_pct,maize_climate_only_pct,maize_irrigation_loss_pct,maize_baseline_production_mt,maize_collapsed_production_mt
Moldova,-18.19,-18.19,0.0,-20.85,-20.85,0.0,1.19,0.94,-16.74,-16.74,0.0,0.0,0.0,-17.0,-17.0,0.0,2.5,2.07
United Arab Emirates,-18.12,-17.54,-0.59,-4.95,5.14,-10.08,0.0,0.0,,,,,,-18.94,-18.94,0.0,0.0,0.0
Dominican Rep.,-18.09,1.08,-19.17,,,,,,-18.04,3.22,-21.26,1.42,1.16,-18.38,-11.73,-6.66,0.19,0.15
Denmark,-16.77,-16.73,-0.03,-15.88,-15.85,-0.03,1.99,1.67,,,,,,-81.46,-81.46,0.0,0.03,0.0
Ukraine,-16.62,-16.33,-0.29,-14.58,-14.56,-0.02,22.45,19.18,-4.14,5.14,-9.27,0.05,0.04,-17.97,-17.51,-0.46,32.12,26.35
Czechia,-15.79,-15.79,-0.0,-16.36,-16.36,0.0,3.41,2.85,,,,,,-13.02,-13.02,-0.01,0.66,0.57
Armenia,-15.76,-14.79,-0.97,-15.81,-14.91,-0.9,0.4,0.34,-27.0,-26.67,-0.33,0.0,0.0,-14.01,-10.36,-3.65,0.01,0.01
Belgium,-15.31,-15.23,-0.09,-4.74,-4.74,-0.0,1.51,1.44,,,,,,-50.04,-49.68,-0.37,0.43,0.22
Austria,-14.59,-14.58,-0.01,-11.76,-11.76,-0.0,1.13,1.0,,,,,,-16.96,-16.95,-0.01,1.26,1.05
Lithuania,-14.59,-14.59,-0.0,-12.73,-12.73,-0.0,3.17,2.77,,,,,,-62.4,-62.4,-0.0,0.12,0.04
Poland,-12.91,-12.89,-0.02,-14.3,-14.3,0.0,8.18,7.01,-12.63,-12.63,0.0,0.0,0.0,-10.92,-10.87,-0.05,5.4,4.81
Iran,-12.69,-7.05,-5.65,-12.01,-6.35,-5.65,26.69,23.49,-18.95,-14.59,-4.36,3.5,2.83,-12.72,-2.84,-9.88,0.8,0.7
Canada,-12.39,-12.38,-0.0,-6.22,-6.22,-0.0,28.05,26.3,,,,,,-27.64,-27.64,0.0,10.63,7.69
Oman,-12.21,-0.34,-11.86,-6.79,6.58,-13.37,0.0,0.0,,,,,,-54.88,-54.88,0.0,0.0,0.0
Bosnia and Herz.,-12.14,-12.14,-0.0,-8.31,-8.31,0.0,0.35,0.32,,,,,,-13.28,-13.28,-0.0,1.1,0.96
North Korea,-11.67,-10.12,-1.55,-14.87,-13.82,-1.05,0.22,0.18,-4.01,1.36,-5.37,1.56,1.5,-14.63,-14.63,-0.0,2.96,2.52
Nicaragua,-11.6,-9.21,-2.39,,,,,,-13.07,-2.3,-10.77,0.39,0.34,-11.2,-11.12,-0.08,1.11,0.99
Ireland,-11.52,-11.52,0.0,-11.52,-11.52,0.0,0.46,0.41,,,,,,,,,,
Pakistan,-11.5,2.63,-14.12,-9.29,3.87,-13.16,32.23,29.24,-13.18,2.74,-15.92,26.12,22.67,-16.65,-3.78,-12.86,6.23,5.19
Belarus,-11.45,-11.45,-0.0,-5.17,-5.17,-0.0,2.29,2.17,,,,,,-21.44,-21.44,0.0,1.35,1.06
China,-11.12,-8.93,-2.19,-6.28,-2.19,-4.09,78.13,73.22,3.11,4.38,-1.26,140.67,145.05,-18.48,-16.43,-2.04,262.24,213.79
Russia,-10.83,-10.75,-0.08,-9.41,-9.41,-0.0,86.04,77.95,2.43,9.33,-6.9,1.16,1.19,-17.62,-17.54,-0.08,18.73,15.43
Venezuela,-10.62,-6.23,-4.39,1.71,1.71,0.0,0.0,0.0,-9.65,0.58,-10.23,1.43,1.29,-11.19,-10.27,-0.92,1.9,1.68
Kuwait,-10.03,1.64,-11.67,-5.04,12.54,-17.58,0.0,0.0,,,,,,-11.58,-1.75,-9.83,0.0,0.0
Slovakia,-9.68,-9.6,-0.08,-14.58,-14.57,-0.0,1.62,1.38,-10.7,-10.7,0.0,0.0,0.0,-3.07,-2.88,-0.19,1.12,1.09
Romania,-9.36,-9.19,-0.17,-12.51,-12.51,0.0,10.41,9.11,-2.25,-1.15,-1.1,0.02,0.02,-7.44,-7.16,-0.28,15.94,14.75
Netherlands,-9.13,-9.04,-0.09,-1.54,-1.54,0.0,0.58,0.57,,,,,,-38.46,-38.0,-0.46,0.14,0.09
Afghanistan,-9.1,-2.22,-6.87,-9.07,-2.29,-6.79,7.38,6.71,-2.65,4.3,-6.95,0.54,0.52,-13.29,-5.62,-7.67,0.69,0.6
India,-8.6,1.63,-10.23,-20.62,5.42,-26.04,79.25,62.91,-4.17,1.6,-5.77,233.47,223.73,-6.78,-4.6,-2.19,44.51,41.49
Honduras,-8.19,-6.6,-1.6,9.02,9.02,0.0,0.01,0.01,-10.19,-0.75,-9.44,0.18,0.16,-8.09,-7.1,-0.99,1.77,1.63
Hungary,-7.58,-7.56,-0.02,-10.8,-10.8,-0.0,4.64,4.13,-0.85,-0.85,0.0,0.01,0.01,-5.46,-5.43,-0.03,6.59,6.23
Iraq,-7.36,2.89,-10.25,-7.26,2.68,-9.94,5.99,5.56,-9.51,3.13,-12.64,0.39,0.36,-7.05,6.21,-13.26,0.32,0.3
Portugal,-7.28,-2.74,-4.54,6.93,6.97,-0.04,0.23,0.25,-20.63,-19.27,-1.36,0.26,0.21,-7.78,-0.8,-6.98,0.66,0.61
Bulgaria,-6.59,-6.36,-0.23,-8.24,-8.23,-0.0,6.06,5.56,5.3,8.4,-3.1,0.09,0.09,-4.52,-4.02,-0.5,4.12,3.94
Georgia,-6.46,-5.1,-1.36,-20.48,-19.4,-1.08,0.16,0.12,,,,,,-1.01,0.47,-1.48,0.38,0.37
Turkey,-6.12,-5.58,-0.54,-6.97,-6.57,-0.4,32.48,30.22,0.33,3.53,-3.19,0.18,0.18,4.57,6.86,-2.29,2.31,2.42
